mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id
1	1	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	0
1	1	0	3.0	0	0	Chord	4/4	5	1	3/4			1/2	3/2	1
1	1	3	0.5	3/4	3/4	Chord	4/4	5	1	1/8			1/8	1	2
1	1	7/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8			1/8	1	3
2	2	4	3.0	0	0	Chord	4/4	1	1	3/4			1/2	3/2	4
2	2	7	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	5
2	2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	6
2	2	4	2.0	0	0	Chord	4/4	5	1	1/2			1/2	1	7
2	2	6	2.0	1/2	1/2	Chord	4/4	5	1	1/2			1/2	1	8
3	3	8	4.0	0	0	Chord	4/4	1	1	1			1	1	9
3	3	8	4.0	0	0	Chord	4/4	5	1	1			1	1	10
4	4	12	4.0	0	0	Chord	4/4	1	1	1			1	1	11
4	4	12	4.0	0	0	Chord	4/4	5	1	1			1	1	12
5	5	16	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	13
5	5	33/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	14
5	5	17	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	15
5	5	35/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	16
5	5	18	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	17
5	5	19	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	18
5	5	16	0.5	0	0	Chord	4/4	4	1	1/8			1/8	1	19
5	5	33/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	20
5	5	17	0.5	1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	21
5	5	35/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	22
5	5	18	1.0	1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	23
5	5	19	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	24
5	5	16	0.5	0	0	Chord	4/4	5	1	1/8			1/8	1	25
5	5	33/2	0.5	1/8	1/8	Chord	4/4	5	1	1/8			1/8	1	26
5	5	17	0.5	1/4	1/4	Chord	4/4	5	1	1/8			1/8	1	27
5	5	35/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8			1/8	1	28
5	5	18	1.0	1/2	1/2	Chord	4/4	5	1	1/4			1/4	1	29
5	5	19	1.0	3/4	3/4	Chord	4/4	5	1	1/4			1/4	1	30
6	6	20	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	31
6	6	41/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	32
6	6	21	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	33
6	6	43/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	34
6	6	22	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	35
6	6	23	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	36
6	6	20	0.5	0	0	Chord	4/4	4	1	1/8			1/8	1	37
6	6	41/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	38
6	6	21	0.5	1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	39
6	6	43/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	40
6	6	22	1.0	1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	41
6	6	23	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	42
6	6	20	0.5	0	0	Chord	4/4	5	1	1/8			1/8	1	43
6	6	41/2	0.5	1/8	1/8	Chord	4/4	5	1	1/8			1/8	1	44
6	6	21	0.5	1/4	1/4	Chord	4/4	5	1	1/8			1/8	1	45
6	6	43/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8			1/8	1	46
6	6	22	1.0	1/2	1/2	Chord	4/4	5	1	1/4			1/4	1	47
6	6	23	1.0	3/4	3/4	Chord	4/4	5	1	1/4			1/4	1	48
7	7	24	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	49
7	7	49/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	50
7	7	25	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	51
7	7	51/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	52
7	7	26	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	53
7	7	53/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	54
7	7	27	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	55
7	7	55/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	56
7	7	24	0.5	0	0	Chord	4/4	4	1	1/8			1/8	1	57
7	7	49/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	58
7	7	25	0.5	1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	59
7	7	51/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	60
7	7	26	0.5	1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	61
7	7	53/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	62
7	7	27	0.5	3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	63
7	7	55/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	64
7	7	24	0.5	0	0	Chord	4/4	5	1	1/8			1/8	1	65
7	7	49/2	0.5	1/8	1/8	Chord	4/4	5	1	1/8			1/8	1	66
7	7	25	0.5	1/4	1/4	Chord	4/4	5	1	1/8			1/8	1	67
7	7	51/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8			1/8	1	68
7	7	26	0.5	1/2	1/2	Chord	4/4	5	1	1/8			1/8	1	69
7	7	53/2	0.5	5/8	5/8	Chord	4/4	5	1	1/8			1/8	1	70
7	7	27	0.5	3/4	3/4	Chord	4/4	5	1	1/8			1/8	1	71
7	7	55/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8			1/8	1	72
8	8	28	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	73
8	8	29	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	74
8	8	59/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	75
8	8	30	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	76
8	8	28	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	77
8	8	29	0.5	1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	78
8	8	59/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	79
8	8	30	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	80
8	8	28	1.0	0	0	Chord	4/4	5	1	1/4			1/4	1	81
8	8	29	0.5	1/4	1/4	Chord	4/4	5	1	1/8			1/8	1	82
8	8	59/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8			1/8	1	83
8	8	30	2.0	1/2	1/2	Chord	4/4	5	1	1/2			1/2	1	84
9	9	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	85
9	9	32	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	86
9	9	32	2.0	0	0	Chord	4/4	4	1	1/2			1/2	1	87
9	9	32	1.0	0	0	Chord	4/4	5	1	1/4			1/4	1	88
9	9	33	1.0	1/4	1/4	Chord	4/4	5	1	1/4			1/4	1	89
9	9	34	1.0	1/2	1/2	Chord	4/4	5	1	1/4			1/4	1	90
9	9	35	0.5	3/4	3/4	Chord	4/4	5	1	1/8			1/8	1	91
9	9	71/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8			1/8	1	92
10	10	36	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	93
10	10	37	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	94
10	10	75/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	95
10	10	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	96
10	10	36	4.0	0	0	Chord	4/4	5	1	1			1	1	97
11	11	40	4.0	0	0	Chord	4/4	1	1	1			1	1	98
11	11	41	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	99
11	11	42	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	100
